id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,winner_index
49,565453,523525,0,322066,67329,134130,67322,321523,4940,383905,0,0,52466,2270,14880,18940,242189,32062,2057,4867,2404,2966,578,1451,1999,4776,0.1349,0.0058,0.0383,0.0487,0.6228,0.0825,0.0053,0.0125,0.0062,0.0076,0.0015,0.0037,0.0051,0.0123,17
50,541973,493856,0,277760,75633,140463,75623,277669,4347,348945,0,0,57286,2315,24453,15564,212927,15401,3940,1677,2427,3272,856,1796,1946,5085,0.1621,0.0066,0.0692,0.0441,0.6027,0.0436,0.0112,0.0047,0.0069,0.0093,0.0024,0.0051,0.0055,0.0144,17
51,462620,455369,0,277084,106865,71420,106865,277007,2561,381311,0,0,41600,1364,21740,16807,261774,23786,1974,1508,1418,2198,963,910,1385,3884,0.1084,0.0036,0.0566,0.0438,0.6819,0.062,0.0051,0.0039,0.0037,0.0057,0.0025,0.0024,0.0036,0.0101,17
52,525042,503703,0,291926,108633,103144,108536,291523,4401,395658,0,0,58172,1615,22278,13931,258726,25075,2254,1178,1678,2582,515,1128,1719,4807,0.1454,0.004,0.0557,0.0348,0.6467,0.0627,0.0056,0.0029,0.0042,0.0065,0.0013,0.0028,0.0043,0.012,17
53,492711,487063,0,236056,100172,150835,100168,235959,6564,329563,0,0,58278,1735,22842,17301,185944,23263,3871,1332,2273,3121,653,1263,2107,5580,0.1734,0.0052,0.068,0.0515,0.5532,0.0692,0.0115,0.004,0.0068,0.0093,0.0019,0.0038,0.0063,0.0166,17
54,515129,467586,14,186979,14493,266100,14499,186515,6072,194942,0,0,46408,7077,31158,15767,65159,12754,1437,438,1172,4134,229,1754,1571,5884,0.2309,0.0352,0.155,0.0784,0.3242,0.0634,0.0071,0.0022,0.0058,0.0206,0.0011,0.0087,0.0078,0.0293,17
55,563289,472343,0,212585,7706,252052,7680,212112,5716,214076,0,0,48716,10515,32891,21663,66193,14155,2222,594,1455,4450,282,2399,1862,6679,0.2216,0.0478,0.1496,0.0986,0.3012,0.0644,0.0101,0.0027,0.0066,0.0202,0.0013,0.0109,0.0085,0.0304,17
56,547079,523159,687,214597,20453,287422,21041,214235,6494,228782,0,0,63421,7910,25584,17594,81261,12985,1718,554,1388,5331,305,2020,2036,6675,0.2696,0.0336,0.1087,0.0748,0.3454,0.0552,0.0073,0.0024,0.0059,0.0227,0.0013,0.0086,0.0087,0.0284,17
57,452598,434259,5368,181827,19895,227169,25262,181560,6391,200431,0,0,38848,3741,28374,12609,86277,13112,1221,616,1463,4505,328,1608,1544,6185,0.1878,0.0181,0.1372,0.061,0.4172,0.0634,0.0059,0.003,0.0071,0.0218,0.0016,0.0078,0.0075,0.0299,17
58,508854,379485,0,184071,16846,178568,16842,183785,9037,191590,0,0,48038,1457,17436,19051,67003,19218,4020,648,1423,2724,315,2006,1291,6960,0.2394,0.0073,0.0869,0.095,0.334,0.0958,0.02,0.0032,0.0071,0.0136,0.0016,0.0099,0.0064,0.0347,17
59,499598,393105,629,170892,15524,206060,16094,170481,9217,177358,0,0,40906,1307,20386,17125,61146,19972,2708,503,1282,2557,256,1838,1278,6094,0.2192,0.007,0.1093,0.0918,0.3277,0.107,0.0145,0.0027,0.0069,0.0137,0.0014,0.0099,0.0068,0.0327,17
60,506958,386220,1472,177720,14992,192036,16436,177526,8366,185596,0,0,43522,1437,18932,17077,63645,22355,3490,553,1404,3326,296,1846,1372,6341,0.2244,0.0074,0.0976,0.088,0.3281,0.1153,0.018,0.0029,0.0072,0.0171,0.0015,0.0095,0.0071,0.0327,17
61,473468,371771,1132,169364,23065,178210,24193,169194,10164,183223,0,0,43745,1084,19575,13636,68148,22001,2041,509,1209,1952,263,1395,1038,6627,0.2262,0.0056,0.1012,0.0705,0.3524,0.1138,0.0106,0.0026,0.0063,0.0101,0.0014,0.0072,0.0054,0.0343,17
62,522182,450334,316,196587,13886,239545,14183,196052,7740,202495,0,0,60065,1885,15128,11971,79690,12333,2060,2331,1726,4315,255,1362,1501,7873,0.2857,0.009,0.072,0.0569,0.3791,0.0587,0.0098,0.0111,0.0082,0.0205,0.0012,0.0065,0.0071,0.0374,17
63,473566,424792,0,180733,26210,217849,26195,180291,8106,198380,0,0,59079,1500,14798,11127,77629,13423,1740,1926,1590,3243,257,1155,1386,9527,0.2861,0.0073,0.0717,0.0539,0.376,0.065,0.0084,0.0093,0.0077,0.0157,0.0012,0.0056,0.0067,0.0461,17
