id,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,percent27,winner_index
74,31074,2339,6366,10847,149701,60101,4171,2763,5505,8551,5068,0,8826,6974,0,0.102796689228082,0.007737702720569,0.021059518708107,0.035883223284141,0.49522950206132,0.198821573024812,0.013798186071554,0.009140347186695,0.018211223765022,0.02828777010258,0.016765573486128,0,0.029197504259779,0.023070858226569,0,17
75,54303,9838,19325,27390,166464,28704,0,0,0,0,0,0,6419,25393,0,0.160737754413384,0.029120624561078,0.057202279033815,0.081074795484409,0.492735843574905,0.084964254457264,0,0,0,0,0,0,0.019000332683988,0.075163646649711,0,17
76,59852,4484,10783,11945,236467,15969,0,0,9058,0,0,0,3637,9972,0,0.165260777486629,0.012381022991886,0.029773542898647,0.032982005928252,0.652922226524559,0.044092896832838,0,0,0.025010549158485,0,0,0,0.010042323613315,0.027534245551823,0,17
77,49574,0,14759,10838,206442,17313,0,5291,0,0,4642,0,3655,10217,0,0.153607803402834,0,0.045731562741959,0.033582131377285,0.639671744398364,0.05364527039444,0,0.016394450739732,0,0,0.014383489006584,0,0.011325215923969,0.031657929164211,0,17
78,52834,0,11116,5176,188442,40099,5016,2710,0,0,0,0,9107,6263,0,0.164713511221681,0,0.034654851999382,0.016136516188269,0.587480174565264,0.125011236984815,0.015637705796051,0.008448601018201,0,0,0,0,0.028391664012088,0.019525309290404,0,17
79,51747,0,12838,0,102222,9675,3264,2394,7954,0,0,0,5065,9900,0,0.252351762175764,0,0.062606294779508,0,0.498499818114262,0.047181484810075,0.015917350534376,0.011674674380912,0.038788788649027,0,0,0,0.024700177835972,0.048278728642868,0,17
80,42904,0,8118,9426,94633,13500,4894,0,0,0,0,0,3987,8105,0,0.231204901733606,0,0.043746947924422,0.050795606200493,0.509966115167753,0.072749913399815,0.026373190828051,0,0,0,0,0,0.021485474424079,0.043676892452259,0,17
81,38783,0,17286,9895,173864,18720,0,5897,0,0,0,0,4323,8204,0,0.140024984474965,0,0.062410609234708,0.035725614854647,0.627731005668355,0.067588025273269,0,0.021290950055367,0,0,0,0,0.01560806801583,0.029620307657153,0,17
82,44024,6772,19591,7060,171289,37739,0,1950,0,0,0,0,3545,7095,0,0.147205457007674,0.02264389569724,0.065507461165968,0.023606894790043,0.572748073894004,0.12618988703703,0,0.006520317966088,0,0,0,0,0.011853603687068,0.023723926138152,0,17
83,59586,0,21094,16048,168480,14501,0,6304,0,0,0,0,0,13175,0,0.199159057181438,0,0.070504117673391,0.053638479208428,0.563123814620881,0.048467820725412,0,0.021070349758844,0,0,0,0,0,0.04403582773997,0,17
84,46903,0,25571,9947,135124,18661,2939,2598,0,0,0,0,4541,9464,0,0.183395373570859,0,0.099985069925086,0.038893726899411,0.528347838901773,0.072966305184468,0.011491772731212,0.01015842992708,0,0,0,0,0.017755746843292,0.037005150434907,0,17
85,50271,0,21414,13063,77903,23091,7946,0,0,0,0,0,4462,17325,0,0.233303167420814,0,0.099380330963007,0.060624136703548,0.361540390539421,0.107163127966134,0.036876627899134,0,0,0,0,0,0.020707716295738,0.080403672080606,0,17
86,50859,0,17313,13358,72210,14971,0,0,0,0,0,0,5819,10834,0,0.274373664789279,0,0.093399874698076,0.072063508705418,0.389557266328657,0.080765293369427,0,0,0,0,0,0,0.031392241140652,0.05844707690631,0,17
87,42954,5981,13783,13750,116383,10764,3145,0,0,14750,0,0,10539,0,0,0.18510745575288,0.02577470805265,0.059396883736869,0.059254672522814,0.501544476525284,0.046386712366223,0.013553159642491,0,0,0.063564103251746,0,0,0.045417090452214,0,0,17
88,29897,3552,8101,11942,108395,13456,2477,0,0,16019,0,0,4356,0,0,0.150846388657635,0.017921730096984,0.040873852023497,0.060253739151289,0.546910404899013,0.067892674093096,0.012497781935835,0,0,0.080824371752178,0,0,0.021978335935607,0,0,17
89,32280,0,11099,18175,104892,18961,0,0,0,17591,0,0,13272,0,0,0.149257872104314,0,0.051320073704513,0.084038412431708,0.485004520318386,0.087672755879923,0,0,0,0.08133808600199,0,0,0.061367692423308,0,0,17
90,37378,6497,8115,9204,215522,12429,0,0,0,0,0,0,5424,0,0,0.126890473878786,0.022055943433664,0.027548709798785,0.031245634625757,0.731651636876623,0.04219382798387,0,0,0,0,0,0,0.018413333573458,0,0,17
91,36756,2694,13864,5353,62009,13729,2981,0,0,3618,0,0,3409,8684,0,0.240083084580364,0.017596659473012,0.090556814734078,0.03496470205363,0.405030115756308,0.089675022322862,0.01947128279878,0,0,0.023632036620593,0,0,0.022266891332117,0.056722113325933,0,17
92,0,3550,9865,9629,48191,12209,10114,0,0,15929,0,0,8607,10718,0,0,0.02755954414185,0.076584463321485,0.074752336271929,0.374118790869303,0.094781521813686,0.078517512623771,0,0,0.123660812594823,0,0,0.066818294557326,0.083206515750601,0,17
93,93083,0,9978,14384,32563,9497,2705,0,0,0,4466,0,0,7961,0,0.533008468995688,0,0.057135484154578,0.082364883150877,0.186460490130841,0.054381207959113,0.015489224758282,0,0,0,0.02557296775249,0,0,0.045585847800621,0,13
94,40244,0,9623,15567,69413,13879,0,0,0,0,1826,0,2361,7603,0,0.250716439482668,0,0.059950316289156,0.096980834840828,0.432435966390853,0.08646476564244,0,0,0,0,0.01137579523475,0,0.014708791100353,0.047365920684449,0,17
95,37873,3228,15181,9514,70071,4719,1956,2988,0,10977,2025,0,0,5472,0,0.230927294456233,0.019682419055585,0.092564674046935,0.058010691580432,0.42725112147703,0.028773644478459,0.011926520152546,0.018219039987632,0,0.066931192083078,0.012347240955474,0,0,0.033364988893013,0,17
96,36087,2442,10629,9298,45515,13033,2077,1748,3611,0,0,2684,3011,6988,0,0.263172480182026,0.01780879439055,0.077514189595941,0.067807595715783,0.331927588621625,0.095045858782943,0.015146953785941,0.012747652969584,0.026333967318745,0,0,0.019573627328583,0.021958342729643,0.050961441047741,0,17
97,35138,0,20597,0,71987,15504,10868,0,5536,0,0,0,4160,14669,0,0.196896766204002,0,0.115415738489033,0,0.403380723727242,0.086877001967955,0.06089907490891,0,0.031021096677928,0,0,0,0.023310650682836,0.082198061265991,0,17
98,29685,0,21096,11325,79639,14881,4405,0,3712,8134,0,0,4880,11382,0,0.156948064650865,0,0.111536925195203,0.059876549006242,0.421060351991882,0.078677521038577,0.023289730540618,0,0.01962576158156,0.043005373034593,0,0,0.025801108975758,0.060177914418458,0,17
99,32212,3877,9932,13000,57025,16128,0,1665,0,8259,0,0,0,10182,0,0.211531389545574,0.025459644171829,0.065221858044421,0.085368924141912,0.374474069168658,0.10591000065852,0,0.010933789130483,0,0.054235534191389,0,0,0,0.066863568124073,0,17
100,34175,4957,10831,18169,60779,26253,3289,0,0,0,0,0,0,16290,0,0.195572927098653,0.028367342051561,0.061982374799851,0.103975419420043,0.347818923272101,0.150237585229478,0.01882190293756,0,0,0,0,0,0,0.093222498891106,0,17
101,25261,10160,19010,10574,240687,19040,5832,0,4726,10273,0,0,5215,0,0,0.072014208416719,0.028964182229693,0.054193804992322,0.030144413150385,0.686151727626883,0.054279329145387,0.016625895355877,0,0.013472904912873,0.029286320814631,0,0,0.014866948607836,0,0,17
102,20864,7276,17995,8139,262941,19586,0,0,0,13560,0,0,4437,5932,0,0.057838272392094,0.02017020717265,0.049884944719184,0.0225625765529,0.728913434254349,0.054295444694079,0,0,0,0.037590433475529,0,0,0.012300055555378,0.016444428567613,0,17
103,19811,0,15914,9798,264357,14247,8126,0,0,11483,0,0,5779,7934,0,0.055423291154822,0,0.044521029664366,0.027410899123505,0.739565529658341,0.039857428027411,0.022733309479241,0,0,0.032124857586774,0,0,0.016167338848207,0.02219616999856,0,17
104,23935,0,25457,7512,181859,25884,6243,0,0,11281,0,0,8130,8180,0,0.080189358786657,0,0.085288487913036,0.025167424331332,0.609281499130957,0.086719064349335,0.02091589857568,0,0,0.037794690346347,0,0,0.027237907323447,0.027405422128634,0,17
105,15448,0,16186,12244,95926,32651,5920,0,0,15582,0,0,4666,11567,0,0.073495408915743,0,0.077006490986139,0.058252037293604,0.45637740357941,0.155340351982479,0.028164983729021,0,0,0.074132901430002,0,0,0.022198955081016,0.055031143039458,0,17
106,36608,0,17832,17679,73852,57673,0,0,0,7639,0,0,3849,11098,0,0.16181761923706,0,0.078822380962516,0.078146078568659,0.326446303210168,0.254930640267563,0,0,0,0.033766496644945,0,0,0.017013646496452,0.049056235078623,0,17
107,58623,0,10125,10533,74497,19422,3957,2003,0,0,2553,0,2850,10334,0,0.300789647865283,0,0.051950437276337,0.054043847489547,0.382237207483979,0.099652483237632,0.0203030005237,0.010277207492791,0,0,0.013099206554715,0,0.014623086048154,0.053022796919868,0,17
